author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
leadnurse,amzn1.account.AEG5T654T24TUXOIQ5VGEI3NHPPQ,"Reviewed in the United States on September 1, 2020",1,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,I am a nurse. Brooks shoes are all the rage at the hospital with the nurses and doctors. That should tell you something about the comfort level of Brooks right there. These are incredibly comfortable. They’re also gorgeous - I am not sure I want to wear them to work. Spendy- but worth every penny.,Obsessed,Size: 9.5Color: Light BlueVerified Purchase,232 people found this helpful
Cheri Murphy,amzn1.account.AEHIB56VW3BVRVHJP3NH7AUR5TLA,"Reviewed in the United States on August 19, 2020",0,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Did online research for a running shoe to address my issues—high arches, history of plantar fasciitis, lower back issues—and found the Ghost consistently recommended. So far so good! The sole is soft and forgiving, and I’ve felt good running in them.",Addresses my issues,Size: 8.5Color: Alloy/Oyster/WhiteVerified Purchase,216 people found this helpful
a mom,amzn1.account.AHQ4MXP737DQ5NHG7JZ3YO4F2XHQ,"Reviewed in the United States on September 3, 2020",0,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I am 70 yrs old and my foot type requires a neutral shoe for my daily +2 mile walks.  This Black/Hushed Violet Ghost 13 is the perfect color for me personally:  I have been waiting for a black Brooks Ghost WITHOUT being totally stark black or black with stark white soles.  The Hushed Violet is subtle, more like soft grey, true to the pictures posted.  The Ghost 13 continues to have a comfortable toe box for my bunions.  It will easily accommodate prescription orthodics.  My orthopedist highly recommended the Brooks Ghost 10 yrs ago and I have worn them since...even more so,  since I have had injuries wearing slip-on shoes when I should not have: have had a torn left anterior tibialis tendon and developed a torn meniscus in my right knee while recovering from that my foot injury!  I am thankful Brooks Ghost started coming in more neutral colors since Ghost 11, since I wear them for most all occasions every day, all day now.",Perfect fit AND color,Size: 6.5Color: Black/Hushed VioletVerified Purchase,165 people found this helpful
EnjoyTheJourney,amzn1.account.AF6D4CFOR3WRODNXBRABWGHBXL7Q,"Reviewed in the United States on September 8, 2020",2,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"First time I ordered a shoe online. I had never heard of Brooks shoes.  My previous brand was Saucony but they wear out too fast. These fit PERFECTLY. I jogged around my house the day I received them trying to find something wrong with them but they're perfect! Everyone has their own brand and I'm now sold on Brooks. I run 55-60 miles a week and need a sturdy, durable, comfortable shoe - Brooks is it for me.",Brooks Ghost 13 size 8 women's,Size: 8Color: Black/Hushed VioletVerified Purchase,140 people found this helpful
Shannon,amzn1.account.AFYU62I6KTSHKS73MYW2MCSCFL6Q,"Reviewed in the United States on August 24, 2020",0,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,I love this shoe. I loved the Ghost 12 but this one went the extra mile. They extended the cushioning to the forefoot. I don't run so my priorities are a little different.. I do HIIT and other cardio workouts that involve jumping and plyometrics. Since I have a wide short feet with high arches I tend to land hard on the forefoot. This shoe is like jumping on a foam mattress..soft and springy.,Forefoot cushioning in a shoe. Finally.,Size: 8Color: Black/Blackened Pearl/WhiteVerified Purchase,94 people found this helpful
R. Burns,amzn1.account.AE5PWSS7JYBNTB7NVRSOLNG6BTCQ,"Reviewed in the United States on October 1, 2020",0,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"While my husband loves his ghosts, I do not. The angle of the sole makes my feet feel like I am walking out of the shoe. They are very uncomfortable. I ordered these through Amazon fulfillment and there is absolutely NO WAY TO CONTACT THEM!!!So the seller gets back with me and says ""I have never actually returned something to Amazon. I believe it is under Your Orders tab, and you should be able to reach them. They should extend the date for you and we will surely honor that. Thanks.""  THIS IS NOT HELPFUL AT ALL BECAUSE A BUYER CANNOT REACH AMAZON FULFILLMENT!!!!  IT IS A NO MAN'S LAND!!!!!",Do NOT ORDER FROM THIS Company - you will not be able to return and amazon will NOT help,Size: 9.5Color: Black/Blackened Pearl/WhiteVerified Purchase,64 people found this helpful
kasey troutman,amzn1.account.AGLTVUSQHIUXU5G4FAWUTVKKGNVQ,"Reviewed in the United States on August 11, 2020",0,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,The ghost 12 are  amazing these 13’s are spectacular with a little extra cushion all the way through the shoe! These do not disappoint!!! Shoe LOVE!,Shoesational!,Size: 9.5Color: Black/Hushed VioletVerified Purchase,59 people found this helpful
shakamar,amzn1.account.AEG7V3WO55AXY3SKWFLLIOJX4BOA,"Reviewed in the United States on August 25, 2020",0,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Great shoes. I’ve had the Ghost 11 previously and these don’t disappoint. They are comfortable and cushiony. I’ve had a few different styles of Brooks shoes in the past and prefer the Ghosts for their comfort. I walk several miles a day and love these shoes. Highly recommend.  Also I might add the shipper was great. The shoes came earlier than expected.  I ordered my regular size and they fit perfect.,Comfortable and Cushiony,Size: 9.5Color: Black/Blackened Pearl/WhiteVerified Purchase,44 people found this helpful
emilyac,amzn1.account.AFFUQ6NB66ZABAZIYBMP2QQQUMBA,"Reviewed in the United States on December 20, 2020",2,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"10/10 would recommend for veterinary professionals/ medical professionals! I am on my feet 12-16 hours a day, and these are by far the best shoes I have used in veterinary hospital.They did take a few days to “break in” but did not cause much discomfort to my feet while wearing them. I wore them a few times before I wore them for a full shift and i think it helped!They clean SO WELL! Baking soda and hydrogen peroxide paste, scrub with a toothbrush, and rise with cold water and Good a s new! I clean them about every 2 weeks. I love light grey shoes and these hold up to cleaning better than any brand I have had in the past. (Nike, adidas, crocs, sketchers, Dansko).I have now had them for 5 months. They have held up to a lot of things most shoes will never have to go through. Most of my shoes only last 2-3 months, and I’m betting these will last at least a year!Love love LOVE these shoes!!!",Perfect for Veterinary / medical professionals and long shifts!,Size: 8Color: Alloy/Oyster/WhiteVerified Purchase,25 people found this helpful
REBECCA,amzn1.account.AG4ERWLEVGYZLL4EPWTZWDRQ2U5A,"Reviewed in the United States on March 16, 2021",0,,https://www.amazon.com/Brooks-1203381B-Womens-Ghost-13/product-reviews/B089R418D4/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"The reviews for these are off the charts but I was still worried about ordering an expensive shoe online, especially as I have a hard time getting a good fit - but they're *wonderful* for me. I haven't had such a comfortable shoe since the good old Saucony's that I used to run in decades ago.. Actually, it's the most comfortable shoe I've  ever worn, ever.  I'm 70, with glitchy hips and knees and a bit of foot neuropathy - just old feet - pretty normal arches and very slight supination. I bought my regular size 8 and they're a perfect fit. I never feel like I get enough toe box and everything wants to chafe the back of my ankle, and various other styles of ""supportive "" shoes/inserts just make me feel unnaturally arranged. These just *cradle* my feet somehow, toe-wiggle room, no pressure on that back tendon, and the right amount of support (neither squishy nor too stiff). I generally go around the house in Snoozies but I just don't want to take these off.  Nothing works for everyone, but from the reviews these seem to have the odds on their side. (I usually stick to low impact these days but actually broke into a jog on my test-walk - really good cushioning!) Long, gushy review, sorry, but jeez, what a great surprise!",Terrific shoe,Size: 8Color: Alloy/Oyster/WhiteVerified Purchase,15 people found this helpful
