author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Amazon Customer,/gp/profile/amzn1.account.AGGFZBQAP2T4W35RD3LVZIZI2TXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 14, 2018",0,3,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Best. Game. Ever.I have two daughters, one whom has Apraxia of speech and the other who is a beginning reader. The pictures ensure that my younger daughter (with Apraxia) can still independently play, while it encourages both my children to read aloud the object. This game requires no adult help, so my daughters will literally spend hours playing this game together. It is super sturdy game with thick, sturdy, double sided cardboard bingo cards and the text and pictures on the yellow “chips” have no scratching or fading from frequent overuse; we do have problems sticking the discarded yellow chips back in on one side of the Zingo machine if it’s not placed in the slot *just so*, but I’m sure it’s from an overzealous preschooler and not the manufacturer. This game is now my go-to gift for any birthday party we are invited to and my girls are always requesting to pack it to bring with to friends and families houses. Buy it. Buy it now. You won’t regret it!",Buy. It. Now.,Style: ZingoVerified Purchase,196 people found this helpful
No No,/gp/profile/amzn1.account.AEK4SE2CN53CHKHPRW2GMECTPDZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 12, 2013",0,15,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"When I read in the description that the game had 72 tiles, I assumed 72 different words; after all, it is marketed for children in pre-K to 1st grade. The description should mention that there are only 24 different words (three tiles per word).The words included are as follows: AND, COME, FOR, HERE, MY, SAID, THE, THREE, WE, WHERE, ARE, HAVE, OUR, SHE, THERE, THEY, WENT, WHAT, WHO, ME, IN, TWO, NOW, WANT.",Only 24 different words.,Style: Zingo Sight WordsVerified Purchase,"1,564 people found this helpful"
Peace & Joy,/gp/profile/amzn1.account.AHFVRG7MWWL5UGXNQ5FKIR3PXDUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 15, 2018",0,0,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"My boys (4 & 6) love game night but my wife and I were tiring of Candyland.  Zingo has been a great alternative.  I would just recommend one change:  have some Zingo cards with the actual numbers on them.  I know they're trying to reinforce counting, but some of the objects on the card they are supposed to count are spaced too closely together and get confusing for little one to count.  We just made our own cards with numbers to get around this.",A great game for 6 and up.  Younger one might need home-made number cards.,Style: Zingo 1-2-3 NumberVerified Purchase,115 people found this helpful
Miran S.,/gp/profile/amzn1.account.AG5NT6ZMMVZIJZCV5D3N64BM7EIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 24, 2017",0,0,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I love all Zingo games; I now have three of them. I use them with my students with autism, ages 6-8. It is a great language tool. It helps with fine motor skills. Students have to put the pieces back into the slot if no one has the item. They have to use a pincher grip to push it in and there is a little tension so they have to push a little bit. We had to teach them to put them in correctly, but they caught on quick. I am not sure what it is but the act of pushing the game piece in is reinforcing and they love to do it. This is great for my kids who have weakness in their hands. It also helps with motor planning. Students also take turns being the number caller. This allows for independence in game playing. Students learn their numbers, identifyinghow many objects are in a group, addition using pictures, and number words. A lot can be taught with this one little game.",A must have for special needs classrooms!,Style: Zingo 1-2-3 NumberVerified Purchase,97 people found this helpful
Eleni,/gp/profile/amzn1.account.AEXS67HDGXXTTYOK4T2CCTZYHPDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2019",1,0,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"This game is perfect for my 4.5 year old that is in speech. He has apraxia and this is doing wonders on helping him practice his words in a timely fashion. Also, learning how to take turns and that you don’t always win!",Would recommend,Style: ZingoVerified Purchase,72 people found this helpful
Tim Showalter,/gp/profile/amzn1.account.AEK45IVNQZXSYANA2IF3AU3YOJ3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 29, 2017",0,0,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"My kids love this. We got our first set as a gift. I bought this one as a spare because it was quickly clear that my 4-year-old twins were going to destroy the original set. That's OK. The game held up well, and the tiles are easy for kids to lose. The ""Zinger"" mechanism works very well; we have rarely had problems with it, and it works for the kids playing independently. But the new set came with a couple surprises. It's 7-player, 78-tiles instead of 6-player 72-tiles. So the cards are different, which is a surprise. But not a big problem.What was a surprise is that my new set is short 2 tiles. I got only 76. (If you care to do an inventory, there should be 3 of every tile.) So I'm a little short on spares.For small kids, this is a great toy, but I think the quality control could be improved.","Fun for small kids, mechanism works well, beware of missing tiles",Style: ZingoVerified Purchase,116 people found this helpful
Brandy M,/gp/profile/amzn1.account.AGTQ5I6QP7GZJD7IDUMOBXRPS3MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 4, 2017",0,0,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"Lots of fun!Pros:1) fun way to learn sight words. It is always good for us to take school work out of the equation,  and just make it fun!2) the format is easy and keeps the game compact and neat. We have the traditional zing as well, and this is great. If you get a card you don't need, simply slip it back into the dispenser using the sits on the top.3) the game is 100% words,  so kids learn what the sight words are. There are some tiny symbols, but not really pictures.Cons:No big cons. We love zingo games. The only thing that makes it 4 stars instead of 5 is that I wish there were more sight words in the game, or they had two card and tile sets. Not a deal breaker, but something to note.",simply fun!,Style: Zingo Sight WordsVerified Purchase,57 people found this helpful
elizabeth,/gp/profile/amzn1.account.AGUKGMUVTKUZL4ZL76JE26ZT2WNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 4, 2017",0,0,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"this is one of the only toys I have ever bought for my kid that I actually enjoy playing with with her.  she loves it because she gets a kick out of the dispenser contraption and she loves the individual attention of playing a game with adults.  the fact that it is so simple to play (don't need to read any directions) and isn't mind-numbingly boring for adults is what makes this the perfect toy.  my child is 3.5 and I wish I had bought it for her sooner, but she can play it easily at her current age.",the perfect game for your toddler,Style: ZingoVerified Purchase,69 people found this helpful
Sunny Shopper,/gp/profile/amzn1.account.AGZUDXRGXXLEOAVJLHUMUS3DCEHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 8, 2020",6,1,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Ok for a little practice but not that useful.  Not really worth $25.The game has ONLY 24 WORD tiles.  I read in the description that it had 72 tiles, but didn’t realize there are 3 of each (which I understand for the game purpose if you’re playing with multiple people but they need to provide more tiles with more words).My child just completed Kindergarten and they were expected to read a list of 100 words.  He needs more practice on some so a classmate’s parent recommended this game.  But these tiles only represent 1/4 of the words he needs to know to start first grade (and we haven’t played yet for me to see if they are the words he knows already or not...)Also, the cards have TOO MANY PICTURE CLUES.  This makes it easier for the child to use the picture as a reminder/prompt versus truly recall/read the word, which is the point of sight words.  There should be another version on the back of the cards with words only.  This would help because when assessed in Kindergarten they have 3 seconds to read the word to prove they know it (no picture clue or time to sound it out).Another idea would be to sell a “refill kit” if you already have the original Zingo (which we really liked so this is sad!). I keep the tiles in a snack-size zippered plastic bag to prevent them from getting lost, so I could just use the same red dispenser if the refill kit came with tiles and cards only.  This would make the product cheaper and easier to package/ship.  And if they couldn’t add more than 72 tiles in one set, they could offer different refill sets with more words.",Not that useful - Only 24 words & cards have picture clues,Style: Zingo Sight WordsVerified Purchase,15 people found this helpful
Traci M.,/gp/profile/amzn1.account.AGMDZD5WP2A4R7K3QWIFZQJ6HASA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 29, 2014",0,0,https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"At the time of this review I taught ""regular"" first grade students.  My students were on various levels (Pre-K through 2nd) when it came to reading.  One of the most difficult tasks of teaching can be making learning fun.  I found this game on Amazon and thought it might be a good addition to my small group teaching time (after a structured lesson).  The result?  ALL of my students fell in love with this game.  They would often ask to play it during their small group reading time if we had time left at the end of the lesson.  There are two sides to each card; however, even my students who were below grade level could use the ""harder"" side of the card.  The key part of this is to have the students read the word (or try to read the word) before getting the word chip.  Even though they are sight words I found it essential to help the student try to figure out the word to ensure success.  Rather than only get three in a row I often played the game where the entire card had to be filled.  At the end of the game I would always reward the students with a pencil, eraser, ticket, etc... whether or not they won.  That avoided anybody feeling like they lost.  It didn't ever delete the motivation to play because each student still wanted to win.If you want to make learning fun, try this game.",My Students LOVED This Game,Style: Zingo Sight WordsVerified Purchase,85 people found this helpful
