author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Ced,/gp/profile/amzn1.account.AED4ZRK4I5Z37YXOB73ERG5PNGEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 15, 2018",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"I am not trying to mislead anyone, I really like this soup. Everyone has eaten it before, and we all know what to expect. My MAJOR issue is the amount of cans that are dented in the cases. Nearly 40% of mine had to be discarded. After having worked in a warehouse as a youngster, working with lifts and loaders, I can only surmise that these cans are being destroyed on purpose. Maybe some disgruntled packer and his buds think this is funny and retributional. But, after buying many cases of various dented, more like destroyed, canned items, I have decided to no longer purchase such items. The lost/waste of my order is just too much to continue to do so. UPDATE: After further inspection I have discovered that the dented cans are found in the middle of the case of cans. This would indicate that Campbell's, in fact, packed them this way, and sold them to Amazon. This is an old trick I learned while working for a soft drink company. The question remains, did Amazon get a discount for buying these defective cans , or was Amazon duped by the Campbell's company? I no longer want to implicate the stockers at Amazon, they may be hard working people with no knowledge of what is in the case. This may in fact, be an agreement with Amazon executives and Campbell..",The waste of it all!!!,Flavor Name: Homestyle Chicken NoodleSize: 10.5 Ounce (Pack of 12)Verified Purchase,152 people found this helpful
M. S. Walker,/gp/profile/amzn1.account.AFA5WXAC6WLGP5TPQH2SVGT6URRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 19, 2019",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"What matters to me is the taste and the savings. The cans I've received have had dents, but the lids are pull-top so there's no problem with can openers. The taste is still the same and I'm buying them much cheaper than our local grocer. If I have to look at a dented can sitting on my pantry shelf for a few weeks in order to save some money - fine, no prestigious looking cans it'll be.",I don't mind the dented cans,Flavor Name: Homestyle Chicken NoodleSize: 10.5 Ounce (Pack of 12)Verified Purchase,44 people found this helpful
WC Alaska,/gp/profile/amzn1.account.AFP6FA4B4TL23RXDFDWQ4VJ73JGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 17, 2019",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"We live in a small remote community. Here, a large Won Ton soup delivered can cost $10 or more depending on ingredients. Well, we can't get Campbell's Won Ton here so we decided to try it out on Amazon. Yes, there were some dented cans, but the can still burped ""safety"" when opened. The soup stock is basic Campbell's flavor which in my opinion is good. Think Campbell's Chicken Noodle soup. There are sparse amounts of small chicken squares added, then maybe half a dozen won tons stuffed with chicken.Is this restaurant quality soup? Of course not. It's a can of Campbell's soup! I've been eating Campbell's soup since I was a kid and I suspect most of the readers here are also familiar with Campbells. Campbells puts out a decent product. It has it's trademark flavor that we're used to. The Won Ton soup is a variation of that. By the way, the noddles are a bit thick compared to a restaurant won ton. But still has a good flavor. If you're wanting some won ton soup quickly, if you have a few cans on the shelf this will do the trick. Bear in mind, you're getting a good product and there may be some dented cans. SO WHAT???? Open the can and enjoy a decent bowl of soup. Then recycle the can! Recommended",Won ton soup: A good substitute when you can't make it to the restaurant: Recommended,Flavor Name: Chicken Won TonSize: 10.5 Ounce (Pack of 12)Verified Purchase,27 people found this helpful
Doris H,/gp/profile/amzn1.account.AH3OPKVPXC7TOLWDUXJSASR7T76A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 13, 2017",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I am so glad I found this on Amazon.  It is impossible to find in local stores, for some reason.  Back in the 60's my mom made a skillet dish with a can of Campbell's Chicken Gumbo soup, a can of chicken, onion flakes, water, and a cup of instant rice.  I have subscribed to this so I can make this super quick dinner a couple of times a month.  Being more health conscience now,  I use instant brown rice and add a few chopped onions and maybe a can of tomatoes or a chopped bell pepper.  Got to have that Campbell's soup as the base flavor, though, or it doesn't taste like Mom's.  Still a great comfort food and only one pan is involved, making clean-up quick.",Glad I found this on Amazon,Flavor Name: Chicken GumboSize: 10.5 Ounce (Pack of 12)Verified Purchase,44 people found this helpful
Hunter Maddy,/gp/profile/amzn1.account.AG6SMIFLKKARJI7EAV6LZ2HKPYGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 14, 2018",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"Found them caper at Kroger 2 weeks later.  Still worth it.  This stuff has like a 70% chance of curing school missing plagues.  When combined with watching ""The Price is Right"" product should be almost 100% guaranteed to make you feel good enough to play hooky the next day!",Over Priced but Delish!,Flavor Name: Chicken Won TonSize: 10.5 Ounce (Pack of 12)Verified Purchase,27 people found this helpful
marie,/gp/profile/amzn1.account.AHC3UUD7IRRKZGBW6VO5ZLO5X5DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 26, 2020",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I basically love anything when mushrooms are involvesd and canned goods have proven to be practical these days.There isn’t as much mushroom flavor as I’d hope, but it does taste good and there are some beef chunks that are yummy..This soup is hella versatile.  I don’t eat soup from the can, I use it to enhance all sorts of things. Pour some over some hot,  diced, cooked potato, a couple of grape tomatoes, thawed frozen peas, multicolored peppers or broccoli - and of course, Tabasco. Or whatever!Mix in some chopped frozen kale or other greens, a few black beans or chick peas - add flavorings you like.I think of soup as a vehicle or base, using a little (undiluted) to make a healthier, easy quick dish.  The possibilities are infinite. I’d definitely recommend this soup. Add more mushrooms!If you ever eat canned soup, always add something green and other healthy stuff.  Nice feature - you can make great meals using a microwave - cook your dinner/s in your bowl. Cleanup barely exists. Enjoy!","Not bad, I’d buy again - perhaps not in bulk",Flavor Name: Beefy MushroomSize: 10.5 Ounce (Pack of 12)Verified Purchase,9 people found this helpful
EG75,/gp/profile/amzn1.account.AH6TRAJFXHTDLG3ZCOWSQKIMXUQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 25, 2018",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2.0 out of 5 stars,"I thought I was reordering the Healthy Request version of this soup.  That version tastes the same but has less than half the sodium per can (1,025 mg) than this killer version (2,350 mg) that looks almost the same.  Since I've already opened the box, I think it's too late to return it.  Don't eat this unless you're starving.  With all that salt, it should remain edible for 20 years or so.  Great for a storm shelter!",There is enough salt in each can to kill a horse,Flavor Name: Homestyle Chicken NoodleSize: 10.5 Ounce (Pack of 12)Verified Purchase,22 people found this helpful
Luke,/gp/profile/amzn1.account.AGXQQTH3T2YSIQMHH6AKFS4PQBMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 15, 2018",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,Really nice flavor to this soup and a good amount of wontons. I only added about a half of can of water which I found to just the right amount.,Comforting soup that hits the spot,Flavor Name: Chicken Won TonSize: 10.5 Ounce (Pack of 12)Verified Purchase,19 people found this helpful
Jack Merritt,/gp/profile/amzn1.account.AGOF4PDZQWCSMZEVTNUGMCTVOPDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 29, 2021",0,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"I had a hard time writing this review.  At first I was totally disappointed with this Chicken Wonton Soup.  The wontons are simply two pieces of noodle attached together with nothing inside, certainly far from any wonton soup I have ever had.  The soup stock is similar to chicken noodle soup and there are some green leafy vegetables.  As I tried these can they grew on me.  Two cans of soup and one can of water worked best for me with black pepper added.  The issue is that soup is very inexpensive at Chinese takeout places and these cans are not really any less expensive but you can’t beat the convenience.  After several weeks and my third bowl I began to like this soup to the point that I would buy it again but certainly not for more than $1 per can.",Good but a far cry from real wonton soup!,Flavor Name: Chicken Won TonSize: 10.5 Ounce (Pack of 12)Verified Purchase,One person found this helpful
Lauren,/gp/profile/amzn1.account.AGWBCZ4QBHCQI34KNDSMWAL4JCLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 28, 2021",3,,https://www.amazon.com/Campbells-Condensed-Vegetable-Beef-Soup-10-5/product-reviews/B071P9CD8N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,If you like Campbells chicken noodle soup- this is for you.. if you want anything resembling chicken/ wonton soup- this is not for you.It’s renamed chicken noodle soup - same broth and pieces of square chicken bits and instead of noodles it has thick triangular noodle pieces.. about 10 a can.WAY overpriced.Never will buy this again. Lesson learned.See photos- 1 can mixed with 2/3 can water.,Just “Renamed” regular chicken noodle soup,Flavor Name: Chicken Won TonSize: 10.5 Ounce (Pack of 12)Verified Purchase,3 people found this helpful
