author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
CESDewar,amzn1.account.AGQTN3L77LHIZNCZFBLOL3GOURZQ,"Reviewed in the United States on October 10, 2018",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I am IT professional with five decades of experience (designed computers, wrote 2 OS's, 2 programming languages) and Amazon's download mechanism is BADLY BROKEN, and they appear to refuse to acknowledge it. I spent 3 hours on this, finally removing ALL anti-virus/firewall protection software so there was nothing that would interfere with the download. My WiFI connection was clean and secure, rebooted windows - which was a brand new copy of Win10 on a brand new Dell Laptop. No difference - attempting to download the Amazon Installer ALWAYS FAILED.  It does not even appear that you can get a refund, when you figure out you got screwed. So, I just went to Microsoft's store, where the download and installation proceeded quickly without nary a hiccough. Hopefully Amazon will get off its duff and hire some competent programmer to fix this mess. In the meantime I am going to see if my credit card company can reverse the payment for this disgusting junk.",Do *NOT* order this product! it may not work and you wont' get a refund.,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,382 people found this helpful
BONNIE RICH,amzn1.account.AEHSY4W63RGB2UVJG3WKXFTVFCYQ,"Reviewed in the United States on September 13, 2018",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I have been trying to put Office 365 subscription on my lap top August and the instructions dont work, i have spent an hour just trying to get the ""installer"" installed my next option is to go to office max and buy office there and is not way to get a refund or to return this software.",FRustrated very difficult to download no help found from Amazon,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,174 people found this helpful
Danielle,amzn1.account.AHOOBN2GKTOWPD2BUDTGPHJ2GG3A,"Reviewed in the United States on October 7, 2018",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I have liked amazon for quite a while now so I decided to give this format of buying Office 365 a chance. What a waste of my time and money! I'm a pretty tech savvy person but this was pathetic. Trying to download the Games and Software Downloader was ridiculous. I tried exhaustively to troubleshoot issues and it would NOT work. There goes $70 down the drain seeing as how this is NONRETURNABLE. This shouldn't even be listed as a ""1-star"" rating. Fix your crap amazon. I will be cancelling my Prime account from here on out.",Trying to download through amazon is a joke,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,158 people found this helpful
Highly Opinionated,amzn1.account.AFRREGSLB7DJIYE3XUDCM24P633Q,"Reviewed in the United States on March 21, 2019",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"This is One Drive cloud based computing  only.  Not mentioned in details.  Great if you always have a good, secure internet connection, not worth a crap if you often don't.  Have to trust Microsoft not to get hacked, which after other displays of their programming and internet capabilities, (just ask me why I was looking for a replacement application set) I am not willing to trust stuff covered under security protocols or strict ND's on their cloud.  Deleted Office 365 same day.",This is One Drive Cloud based computing  only.  Not mentioned in details,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,121 people found this helpful
Robyn,amzn1.account.AGJ6XTZXBN25V6OATZSJDWK2TZOQ,"Reviewed in the United States on July 30, 2018",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"I was happy that i could download this software and that I didn't have to wait, because I needed this for work and school. However, still a little peeved I have to pay for it yearly! Way to milk the consumer, Microsoft! >.<  Anyhow, it all went smoothly after I figured out how to download it. I think the process could have went a bit more smoothly. like step by step directions would have been nice(I mean its not rocket science to figure it out) just a little confused. I had to go to ""games and software"" on Amazon and then wasn't there and apparently had to click on subscriptions(since its yearly!)",I was happy that i could download this software and that I ...,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,71 people found this helpful
P. Swims (a lot),amzn1.account.AELI3NQIOKKHOEHTHB3J4GHMQ5EA,"Reviewed in the United States on April 1, 2019",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"weaker moment; not thinking. I wanted to read that e-mail, the one with the funny tail... it came as an ? x-doc? or something and needed the 365 personal outlooks (seems like a lot of folk to get into one room, nonetheless, one frame of mind)... so, ""bing"" or ""bang"" more like ""click"" purchase was made.then it began. more emails, 365 personal microsoft emails... about outlive, outbox, (didn't see one for outhouse, but it's probably out there).i like exploring all the neat things you can do: one box, or whatever it's called, can jumble all your random thoughts up together, drug free.  X-cal can make really long numbers short or make ""Pi"" go on to infinity... kind of cool. Powered up point can do some cool stuff, too, but you gotta have something to say. A lot of these powered up presentations don't say much; not sure if that's on the software, you know, the microsofts, or the dumbbells (no offense) sitting/watching. I like the words program. words are nice. you can do all sorts of things, you know, with words. maybe write a book; a ransom note (not suggesting you do this, OK), love letter, poetry, hate mail. There's a time for all this, you know that, huh? (I'm still trying to figure how to write code with the darn personal 356 office. ) things smarter than i am; tap a few keys with my eyes shut, it tells me what it means. crazy, huh? hope you have fun with it; i'm trying to figure out to use it to cancel the auto renew... meanwhile, it's back to x-cal to plot Pi... (that's a big number...)",why did i do this?,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,36 people found this helpful
Bryan,amzn1.account.AHUTV6T5D5S53OF4NOWYQJYNF2QQ,"Reviewed in the United States on January 4, 2019",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I’m an apple guy but needed a MS office option, for the price you can’t beat this, easy to connect to O365 from Mac, iPhone and iPad, auto save and local downloads available, full O365 suite available including email and Skype. Also several APIs will connect you to your virtual OneDrive account to access all your files in the cloud when not connected to your network( I use FileGo pro)",Very much worth the cost,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,31 people found this helpful
Amazon Indiana,amzn1.account.AFQPZRQLT2XQWS2UBXZGCIC3GMXA,"Reviewed in the United States on November 4, 2018",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,4.0 out of 5 stars,"Paid $62 for a year.  Saw imitation software for $29 saying it is basically is same.  My wife convinced me to get real  product for $62. Great decision,",Worth $62 per year.  Same software at home as my fortune 100 employer gave me,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,42 people found this helpful
Ryan Cat,amzn1.account.AEBW432IL7XQ2H4JJ3HWTU7KAFXQ,"Reviewed in the United States on August 28, 2020",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"This is NOT a download of MS Office as described.  This is a login to browser based-app that is completely tied to MS One-Drive and requires a constant internet connection for even basic operations.  This product should have a better description of what is actually being purchased.  This product is totally unusable and shouldn't have made it past a beta version---I'm shocked to see something like this on Amazon  (or released by Microsoft for that matter).---UPDATED---:Amazon did refund my money when I contacted them promptly.  The product is still not good, but Amazon's service gets 5*'s.",Grossly Misleading Product Description,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,15 people found this helpful
Brandon,amzn1.account.AGQB6FIVUHIGI3G4TMOYPLQJCKHQ,"Reviewed in the United States on January 20, 2020",0,,https://www.amazon.com/Microsoft-Personal-12-month-subscription-Auto-renewal/product-reviews/B07F3TQ6DQ/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I was slightly concerned with purchasing this after reading the reviews about how difficult the process was. However, the process for activating could not have been simpler. I did have to go into my amazon account and view my subscriptions > advanced subscription options to find my product key, but that process would more than likely be expected for anyone not buying directly from Microsoft. If you already have the trail downloaded (most windows computers already have it installed) it was just a matter of logging into Microsoft and copy-paste. In total (not including download time) it took 6 minutes.The fact that Amazon is able to provide a discount (usually unheard of with most software, besides to students - check with your school first ALWAYS) makes the negligible extra steps worth it. I was able to make 6 equal payments with my Amazon card with still getting the paid-in-full price.Disclaimer: I work in software for a living but if you have a need to use word/excel/etc and are unable to complete these steps, i would recommend taking a computers 101 class.",Contrary To Popular Reviews,Platform: Auto-Renewing DownloadEdition: Microsoft 365 PersonalVerified Purchase,15 people found this helpful
