author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
sam,/gp/profile/amzn1.account.AFNIVWRMPPEFQE5IMVJP3GFQV4OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 21, 2019",0,5,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,3.0 out of 5 stars,"My 4 and 6 year old love to play this game.  There was an older version of this game at a beach condo we rented for a week, and the whole family liked to play so we decided to buy it.  Just like the older version there are 72 thick cardboard characters, however this particular version my kids have figured out that if they look from the side of the card they can see the colors on the side that is facing down!!  Makes it very easy to find the matches!! So instead of using their memory as intended, they look for the color. So because of this I have knocked off a couple stars.","Kids love, but major design flaw",Style: Disney Classic MatchingVerified Purchase,45 people found this helpful,29899014,,,
MOMaholic,/gp/profile/amzn1.account.AFGKELCTA4RZCTJTJMEIWZSDEXUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 2, 2018",0,1,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,5.0 out of 5 stars,"I bought this for my 3 year old daughter who really likes puzzles and games.The pictures are clear and very pretty, and they are printed on thick boards - like puzzles.There are 2 different pairs of almost every Disney princess imaginable (excluding Elsa, Anna and Moana) and other minor characters from Disney movies.My daughter loves this game, and plays with it almost every night. We change the level of difficulty depending on her state (hahaha). For example, when she is tired or distracted, we just use 4 pairs of cards at a time, but then maybe 11 or more pairs when she is playing well. There are enough pairs of cards in the set that even older children should find the game challenging.All in all, a very satisfactory purchase!",Entertaining and educational,Style: Disney Princess MatchingVerified Purchase,26 people found this helpful,78948019,,,
Lisa F,/gp/profile/amzn1.account.AE5E27CPNWP7PHJG5JHPB7CMLURQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 25, 2018",1,3,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,5.0 out of 5 stars,"Great sturdy tiles!  My 3yr old niece loves playing games with my dad, and the matching game is their favorite. She always manages to school him in the game. And she adores the Disney characters on each tile as well.  Would definitely buy again.","Great game, great tile design.",Style: Disney Classic MatchingVerified Purchase,30 people found this helpful,17575254,,,
A. Jones,/gp/profile/amzn1.account.AEJ7LDPIPE4UPTBDBH7C6R27UBIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 5, 2018",0,0,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,3.0 out of 5 stars,"Good game and the tiles are colorful & sturdy, but what was sent to me is not what is pictured. I'm guessing it's a new version. So instead of Tigger, Bambi, Thumper, etc. it has The Incredibles and Zootopia, etc.  I'm sending back because I wanted the classics that were depicted.",Nice but beware...,Style: Disney Classic MatchingVerified Purchase,24 people found this helpful,2708578,348,177,Public
Soraya K,/gp/profile/amzn1.account.AGIIOJSDWPCM6UXXO7D3MVOC2DXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 26, 2017",3,1,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,5.0 out of 5 stars,My 4yr old daughter loves this game. It has 74 pieces meaning 37matching pairs. The cards are thick enough to endure being handled by toddlers. Different & nice matching pictures on the cards.,Every little princess will love it!,Style: Disney Princess MatchingVerified Purchase,26 people found this helpful,4300215,196,106,Public
yliebermann,/gp/profile/amzn1.account.AFJNVO47CQM7M3IEAXMRPVKS6A5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 10, 2018",0,2,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,2.0 out of 5 stars,"My son is huge superhero fan but wasn't really into this at all. Part of the problem is that he only recognizes half of the characters. There are only 18 different superheroes and supervillains--for some reason they give you FOUR EACH as if they'd never played memory before. If you had to pick eighteen Marvel characters I'm pretty sure White Tiger and Nova aren't making your list, to the exclusion of, I dunno, even Ant Man, right? And forget about the X-men. They weren't allowed in this game.We spent more time punching out the cards than playing with them.",Disappointing,Style: Marvel MatchingVerified Purchase,11 people found this helpful,461794,230,115,Public
Frank Meeuwissen,/gp/profile/amzn1.account.AGPYNMXLJJKWWJ57PM3R2CSF4NQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 10, 2018",0,0,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,5.0 out of 5 stars,"My six year old niece loved this game. I will say that it can be a bit challenging for younger kids as there around 72 tiles (if I recall correctly). You can always just take out a few pairs to make it easier. Some of the tiles have the same princesses in different poses which can also add to the challenge, but all in all this is a well made and fun memory matching game.",Fun with lots of tiles,Style: Disney Princess MatchingVerified Purchase,12 people found this helpful,2068533,,,
anon,/gp/profile/amzn1.account.AEWI3U6DZ7NI3CXW2JSLFNZV2ZSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 19, 2014",0,2,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,5.0 out of 5 stars,"Bought this for my classroom, and boy do my students love it. I work with multiple age ranges and skill levels, and memory is great for turn taking skills, game language, and of course memory. As a bonus the kids are so excited that its Marvel that is has been something that they ask to play daily. You get to identical sets in here. So if you do lose a favorite the bonus is you have another one.I would recommend breaking down the sets and putting them in bags. This way you can save a set for when the first one inevitably gets lost. Also there is no holder inside like a lot of memory games come with, so the bags help you stay organized.",and boy do my students love it. I work with multiple age ranges and ...,Style: Marvel MatchingVerified Purchase,32 people found this helpful,60601,,,
Via S.,/gp/profile/amzn1.account.AHQWSREBML5RH7GZCFX6L57DDMHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 2, 2020",1,0,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,4.0 out of 5 stars,"Great for Toy Story loving toddlers!3 things I may or may not change (see photo):1) I wish these had character names on them. I had to google half of them and finally had to ask a friend for “Combat Carl.”2) They come in sheets so you have to punch them out. This could be a pro if you have a kids who needs to be distracted for a few minutes. But definitely wasted time and packaging material for those who are environmentally conscious.3) If you look closely, you can see the background color of the pieces even when they’re face down. Maybe every piece should have the same border color?Hope you find this helpful!",Three things I might change,Style: Toy Story 4 MatchingVerified Purchase,3 people found this helpful,2189626,,,
Larla P.,/gp/profile/amzn1.account.AHGM5YNU2RGS2L7E5BEFTCWVFTZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 26, 2020",1,0,https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46,5.0 out of 5 stars,"We bought this to put in our four year old’s prize box that she picks things from when she does well in her homeschooling lessons. She was so excited to win it. After ordering, I worried a bit about it possible being a low quality item due to the super low price, mostly because I’ve bought cheap sets before that ended up being flimsy and having the thinness of a light cardstock paper. But this set was thick and cardboard-like just the way we prefer them. Blew my mind how high quality it was for such a low cost. Another good thing about it is there’s a huge variety in colors/pictures/themes on the cards which makes it easier and more fun to play. We’ve had sets (worst case being the Minnie Mouse set) where there’d be a bunch of pairs that were super close in appearance to one another, just with minor changes that are barely noticeable. The sets like that are so much harder for kids and way less fun. This set actually had a huge variety, none of the cards looked the same. There’s cards with single characters, character pairs, animals, symbols, snowflakes, child versions of the characters, etc in all different shades and colors and themes. Very easy for kids to play. Couldn’t be happier.",One of the best and most affordable Memory sets we’ve ever gotten. 5 stars.,Style: Frozen II MatchingVerified Purchase,One person found this helpful,78979076,7310,2304,Public
FamilyofLove,/gp/profile/amzn1.account.AH5OZYVAPLO374DQNA67WQM3YXYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 20, 2020",1,0,https://www.amazon.com/Wonder-Forge-Disney-Frozen-Matching/product-reviews/B088J44FHP/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2,5.0 out of 5 stars,"There’s cards are very sturdy and the graphics in them are vivid. It came with way more cards than I thought it would! As you can see from my photo it’s a box full. It was too many cards for my 2 year old at once so I picked a few sets and let him just use those. It’s great for an older Toy Story fan because with all the cards comes a great challenge for any teen or adult.I’m super impressed by this set and I think it would make a great gift! My son loves it and so do I.I took the review picture against my skin so you can really get an idea of the length of the needles and what the roller looks like.Does it hurt? Absolutely. If this is your first time rolling, take a deep breath, and go for it. It’s super simple to use and super effective. We used it on my husband to help with his balding and we’ve noticed some of his hair coming back. Does it take work, time, and pain? Yes. Is it worth it, yes! It feels sort of like a tattoo and the aftermath feels like a skinned knee...but in your face. Don’t do it before you have to go somewhere!!!!I love the presentation, that it comes in a box, and that the handle is very comfortable to use. It’s a great item and you can’t beat the price. I highly recommend this item.If you found this review helpful, please click helpful to let me know! Thank you.",Looking for a great gift? Here it is!,Style: Toy Story 4 MatchingVerified Purchase,One person found this helpful,2346,398,454,Public
Bobby D,/gp/profile/amzn1.account.AEYN2XKV44BDEL4EQR7FKM72UPEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 30, 2019",0,0,https://www.amazon.com/Wonder-Forge-Disney-Frozen-Matching/product-reviews/B088J44FHP/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2,5.0 out of 5 stars,"I got this for my friends 4 year old daughter for her birthday.  She is a big fan of disney princesses, and board games, so this was a match made in heaven (no pun intended).  I was worried she might not grasp the concept of the game, but she picked it up right away, and was able to play and match and remember a lot.  I played with her a few rounds, and she caught on quickly and was quite good!  Great affordable gift that should provide a lot of entertainment.",Great gift for a little one,Style: Disney Princess MatchingVerified Purchase,4 people found this helpful,40006,,,
Kerri,/gp/profile/amzn1.account.AHSQK2FFV7GPP5NMQNONF6IEH3CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 31, 2019",2,0,https://www.amazon.com/Wonder-Forge-Disney-Frozen-Matching/product-reviews/B088J44FHP/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2,5.0 out of 5 stars,Fun and cute game for the little ones. Love that they have all the characters from Toy Story 4 and come in different designs. Some are life like (just like they are in the movie) and some are more cartoonish (drawn and dont look computer animated),Great value,Style: Toy Story 4 MatchingVerified Purchase,5 people found this helpful,369609,1057,1801,Public
seahorse,/gp/profile/amzn1.account.AF4EUJSX3A7YUV2Z5S6JOBWCVWPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 1, 2015",0,0,https://www.amazon.com/Wonder-Forge-Disney-Frozen-Matching/product-reviews/B088J44FHP/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2,2.0 out of 5 stars,"I was used to the better quality of the memory games of the 1980s.This game looked appealing, but it seems to be cheaply made. The individual ""cards"" or tiles are flimsy.The pictures on them, though of popular characters, are too much the same.I bought the game for my 4 year old grandson who was excited at first but by the time we finished punching out the cards he had lost interest.In addition, when he tried to open the box, not the simple kind with a lid but the kind that inexpensive puzzles come in, the box tore apart.His main concern after we gathered all the tiles was where we would put them.In future I will stick to the classic, traditional memory game.Truly a waste of money.",Marvel Matching Game,Style: Marvel MatchingVerified Purchase,29 people found this helpful,24083,,,
