author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
R. K.,amzn1.account.AHTEMJWRHSISMQBIRKFDTOLDNRTA,"Reviewed in the United States on September 21, 2019",2,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"In June, I had a partial knee replacement removed and replaced with a total knee replacement. Surgery went textbook except my bone had deformed around the previous knee and much of my tibia (the larger, weight-bearing bone of the leg) broke off with the old knee. much prep work with spacers, new bone matric, etc had to be done before the new knee replacement could be evenly inserted and cemented. My quadriceps muscle was sliced longitudinally to allow access. For the first few days my hospital stay was great I walked, climbed stairs, had over 95 degrees range of motion. But massive localized inflammation set in on the 3rd day and because I have had 2 major stomach surgeries, I cannot swallow NSAIDS anti inflammatory drugs like Alleve, Ibuprofen, Naproxyn, etc., or even aspirin But my knee and legwere swollen to 44”from my normal size of 19-21”. The only medication that workedat all on the extreme painqnd swelling or this inflammatory response was a dangerous IV NSAID called toradol which I couldonly receive for 3 days while in hospital or risk losing my kidney funcion The anesthesiologists had  to administer it. I was sent home with opiod pain pills but nohing for the inflammation. By the next morning my knee was back up to 44”, hot, unable o bend, painful to try usi g my walker or cruzches. In the next few weeks, we tried a trial ofCelebrex,prescription-only diclofenac cream, doubl doses of Curcumin. Nothing helped. The Orthopedic surgeon had no suggestions. My husband, an emergency physician, had no ideas. I became so desperate that I took Alleve orally for 2 days until my gut began bleeding. My sister convinced me to pook at over the counter creams, that there must be one that had found anvehicle to get thir product through the many skin layers which are actually designed to keep these creams out. I agreed that if I found somthing ith at least one major ingredient for whoch there was some science, I would try it Thank the Lord, I found Penetrex cream before I gave up. I knew that oral homeopathic doe s of Arnica worked well on bruises and the pain of broken bones. I knew that oral Botswelia and Oral Glucosamine have shown to provide some relief but this was all in antopical cream. And it is not cheap but I was out of options & really did not believe I would get welluntil I could decrease or eliminate this inflammation. So I ordered the small size& when it arrived, I followedinstructions & massaged the appropriateamount into my knee and surrouding tissues. Smelled good, easy to absorb. Then I went about my reading until about 2 hours later, a strange feeling came over me & I beganchecking for what was wrong. Then it hit me like a hurricane — my knee wasn’t hot, the swelling was reduced and the pain was much lighter. I massaged in some more, and y t again after another 5 hours. when I awoke, I got out of bed without my walker, could actually begin to see my kneecap where once was just a blob and I could walk. At physical therapy later that day, I did the Pilates Teformer was cercises, could pedal the bicycle wheel all the time way over and had range of motion of 123 degrees. I put on more cream cheese hen I got home & more before bed. I slept through the night. Today I was able to repot over a doz n pots of flowers,cook supper, bathe myself, and even started work on a new quilt.Look this could all be coincidental. It could be that my knee is finally beginning to heal on its own. But I personally believe (andI am an epidemiologist married to a board-certified MD) that something  in this cream works on inflammation and lets me live a nearly normal, nearly painfree life just 3 minutes months after q complete knee replacement with partial bone replacement. If you have the money for a small size please try it on your inflammed area. It mike make all the difference in your life like it did in mind. And I will be glad to try and answer any questions",Can’t explain how but it works - please read,Size: 2 OunceVerified Purchase,449 people found this helpful
noreen,amzn1.account.AHAU4M6OOKNIW5DZAEUUFKHKV24A,"Reviewed in the United States on August 4, 2017",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I didn't notice any pain relief for my achy feet.  Maybe I just didn't use it long enough, but it's just so expensive for such a little bit of cream.  It's just not realistic in my opinion to be able to afford to use this as directed in order to find out if a difference can be made.  At least for me, this one 2 oz  container (that's 1/4 cup) for $19.00 was not enough to notice a difference.  I knew it was stupid of me to buy it, but I tried it anyway.  Again, did nothing at all for me.",Did Nothing for Me,Size: 2 OunceVerified Purchase,669 people found this helpful
Avidreader,amzn1.account.AHYYILOVPU4EQSYE2QTRNVRB47SA,"Reviewed in the United States on August 28, 2017",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I have severe bursitis in my shoulder and the pain also radiates down my arm. I was told by a doctor friend of mine about how amazing Penetrex was and that it actually works to numb if not completely relieve the pain. So I said 'I'll try anything!'  AND he was right!!! It actually does work. In fact I was on a plane flying back from Texas this last weekend and realized, after using Penetrex on my shoulder that morning, that even though I was pulling a couple of suitcases through the airport , racing to the gate , that my shoulder was completely pain free. I was shocked. This product really does work. And i was pain free for the three hour flight and two hour drive home!  I just purchased two more jars, paying a little extra to have them overnighted , via Amazon...my favorite shopping place!.... because I can't live without this product!  Thank you BioMax for this amazing product! Miracles do happen!!",I was told by a doctor friend of mine about how amazing Penetrex was and that it actually works to numb ...,Size: 2 OunceVerified Purchase,565 people found this helpful
AwesomeReviews,amzn1.account.AEG2I5EJKM3OHW2EGO7M3T4QRZXQ,"Reviewed in the United States on September 23, 2018",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I had surgery a few years back and have a lot of pain in my neck and lower back. There are times where my neck is so stiff I cant turn it without being in pain, or my back is so bad I am bent over even walking to the bathroom. My worst is in the morning when I sleep wrong I wake up really sore and my back thrown out. I also have carpel tunnel. I refused surgery because I am too scared to have it done. However, the pain is so intense I wear wrist braces often and have times where my fingers burn so much I can't do anything. I also have times where I pick something up and my hand literally feels like its been power shocked. If you have bad carpel you know what I mean. I was at a loss being in pain with everything I tried everything, heating pads on my back neck and hands, tens units, tons of creams that say they work as well as bio-freeze which I absolutely hate having the smell on me when I go out. I was at the end of my rope when I came across this product. I bought it with little hope it would help and was amazed at what it did. If I wake up with a sore back or neck, I rub this in and it instantly diminishes the pain at least 75 percent. I rubbed it into my hands and wrists and it helped my carpel tunnel at least 40- 50 percent. Hey if I can remove 50 percent of my carpel pain I am all for it. I fell as if it works better on my back and neck and less so on my wrists, however, this is just to let you know how much it helps because I would take being 10 percent better from all the pain I have. So 75 percent on my neck and back and 40-50 percent on my hands is a huge improvement for me. I have already went through 4 jars of this stuff and will continue to keep buying it. I get that it seems expensive, but for what it does its priceless. I also wanted to mention it does not have any burning feeling or any smell when you put it on. I can literally put it on and go to the store without feeling self conscious because of the smell. Highly recommend this product. Please push the helpful button below if I helped your decision. Thank you!",Works great for carpel tunnel and back and neck injurys!,Size: 2 OunceVerified Purchase,358 people found this helpful
Crazy Cat Lady,amzn1.account.AF3IINICLZX6NXMOMS5ENPDXBDBQ,"Reviewed in the United States on February 26, 2018",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Not as good as BioFreeze or Blue Stuff. I thought with the arnica and laundry list of other ingredients, one of them would make more of a difference than menthol, salicylic-whatever, lidocaine, and other common what-have-you in such products. These ingredients don't.You're to apply this for a week to 10 days to get effects. I'll probably be feeling better by then ANYWAY, because time heals much. I wanted some relief for tendonitis NOW. This did not provide it for me and I can't return it. I don't appreciate that it's not guaranteed for return one bit and would not have bought it had I known. Disappointed.",Not Impressed.,Size: 2 OunceVerified Purchase,388 people found this helpful
latesa,amzn1.account.AETL7PRJB5TZOYITHRXKUBJVMWPQ,"Reviewed in the United States on August 28, 2021",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"I am a stage 4 cancer patient. Metastasized to from breast to bone. Some days being sore even to the touch can be a emotional toll me. Neuropathy is a Pain literally.I tried this with hope, and I still can't believe how it works in mins. So grateful so greatfu so grateful.My son had accidents with deer and complained of neck pain within mins of checking his pain from a 10 he was then at a 2 after applying.Pls try this this brand will be a part of mylofe for the rest of my days",This is amazing!,Size: 2 OunceVerified Purchase,One person found this helpful
LaLa,amzn1.account.AG44NR5TJEJPYFIBZAVRMK346POA,"Reviewed in the United States on August 16, 2018",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=21,5.0 out of 5 stars,"I purchased this way back in December of 2017 as a Christmas gift for my parents. My dad has had a laryngectomy. Part of the procedure required the surgeon to create a muscle flap where they take muscle tissue from the chest and pull it up inside the body to where the larynx was. This fresh living tissue helps previously radiated tissue to heal. Where the doctors performed the muscle flap part of his surgery, he was really hurting. His whole shoulder was hurting. Plus, my mom has joint pain. She frequently has pain in her knees and sometimes, even though she has had carpal tunnel surgery, she still has pain in her wrists and arms. So I got this for them and guess what? They are rather stubborn and they just couldn't believe that this tiny and unassuming looking little pot of cream  could be any more effective than the over-the-counter stuff they've been using. They didn't use it. It just kind of sat around and I kept reminding them to please give it a try because I had read the reviews on Amazon that your relief will improve with continued use. Plus, this stuff is not exactly cheap for so small an amount either! I wanted them to at least give it a try before they wrote it off. Finally, here it is August of 2018 and my Mom finally decided to give it a try and she is impressed with the results. She started rubbing it on her knees and on her arms and over time she finds that she needs to use it less frequently because the results seem to be cumulative with this stuff. Whatever is in it, it really does help improve the pain over time.",Looks unassuming but is powerful...,Size: 2 OunceVerified Purchase,One person found this helpful
Joanna Anderson,amzn1.account.AGFWKDXUDMYULQKQ47OTOYCHXHWQ,"Reviewed in the United States on July 23, 2016",1,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I have been using Penetrex for more then seven years.  I am 81 year old with severe arthritis in hip, shoulders  I have recommended it to everyone and many have thanked me introducing it to them.  I urge you to give This product a try.  Use as suggested and you hopefully will get the help I have gotten.  It is worth paying a little more then over the counter products I have previously used.  A little goes a long way. . I have just tried the new roll on and it is fabulous!  I sincerely hope you will give PENETREX a try and please use the directions as to how o use!  I have introduced this to many friends and co workers and they now agree with me.  Love this product and it’s results. Joanna","PENETREX, THE BEST TOPICAL PAIN RELIEF I HAVE EVER USED!",Size: 2 OunceVerified Purchase,"1,755 people found this helpful"
A,amzn1.account.AEQPYPMCVUEPREOZQ5NJV5AR6L7A,"Reviewed in the United States on October 15, 2019",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"While this product is highly effective in doing what it suggests, it is also quite dangerous for a large number of people.  Note, that it contains DMSO2, which means ALL of the components go directly into your blood stream, bypassing detoxification from your digestive system.  This makes the product more effective, but also makes it more dangerous for anyone that is even mildly allergic to any of the plant families they include, especially Arnica.  Arnica is technically a poison and for some people (myself included) they will get swollen lymph nodes and pain throughout the body.  I spoke with the CEO and asked they make a version that excludes Arnica.  They will not be making another version, sadly.  Otherwise I would give this product a higher rating.  Also be careful with this if you have hyper-tension that is related to your central nervous system.",Effective but risky,Size:  Large 4 OunceVerified Purchase,154 people found this helpful
rick,amzn1.account.AHUKJWKGZVKY3MLTBCK6U77HNOEQ,"Reviewed in the United States on October 19, 2017",0,,https://www.amazon.com/Penetrex-Pain-Relief-Therapy-Experience/product-reviews/B0026HDURA/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,3.0 out of 5 stars,"On the first night of application, about 2-3 hours later, I felt a overwhelming sense of euphoria that my lower back pain was almost 80% gone! I was ecstatic because I have been having chronic ache for more than 10 years. I continued to use it 3 times per day for the next 7-10days. It was fantastic! The pain was almost gone! At the same time I applied the cream one time on my other 3 brothers at around 8.30pm: 1 with lower backache for more than 10 years, 1 shoulder blade ache, 1 heel bone ache due to gout. All said the pain was almost 80% gone before they slept at about 11-12pm!Happily I continued using it. However, after about 10 days, the pain somehow came back slowly over the next few days. Eventually pain is back to its original intensity.I don't understand why. I really hope the cream work. Penetrex what happens?",Ineffective after 7-10 days use.,Size: 2 OunceVerified Purchase,292 people found this helpful
