author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Natasa,/gp/profile/amzn1.account.AGLHA2DHSVXFFSVCS6XLY6Y7HEBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 2, 2019",0,12,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Your browser does not support HTML5 video.           Very bright and works very good with the music,Amazing lights,Verified Purchase,859 people found this helpful
Gret Cook,/gp/profile/amzn1.account.AGJLJHOI2NTZUU62CDPMIGIOO6JA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 2, 2019",0,5,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Your browser does not support HTML5 video.           Exactly what I was looking for! Such a fun accessory to my Wrangler. Can be controlled by the app on your phone or the control switches. Has various different modes you can set including sensitivity to music - which is super fun. Very satisfied!,Fun little accessory to my Jeep! Love it.,Verified Purchase,420 people found this helpful
Lakyn,/gp/profile/amzn1.account.AGCLPIRAHZBJGCVJEQNFXCF6GPJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 12, 2019",2,2,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Your browser does not support HTML5 video.           ayeee!!! the lights are great!! i had a little dilemma when installing them because i got confused but after that it was smooth sailing. I also had a problem with one of the strips. I pulled the strip and the lights slide out the tube they come in. I use my warranty for that but idk yet. I’ll see how long it holds up for. Other than that great product. That look bright in the day time so i cant wait to see them at night. the video i used was with music playing from the radio,Party in the Car!!,Verified Purchase,229 people found this helpful
emily,/gp/profile/amzn1.account.AE6BKJ3DJKOCOMP4RCDW56VSHLRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 3, 2019",2,2,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,Worked well . I bought these for when I take my Jeep on the beach the inside of the car could light up for my kids I thought it would be neat. I just ordered another set for more lights in the car as well.,Worked well !,Verified Purchase,223 people found this helpful
BELLY,/gp/profile/amzn1.account.AEE7Z6XRMNQRSAWHIYZKA3WJEFJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 5, 2020",9,0,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           I saw a bunch of videos of people who had installed led strip lights in their car and I wanted to install something similar in mine. Obviously I started doing some research on which model to buy since there are so many to choose from. And if you're still doing your research and you came across this review, let me make it easy on you. But this!First of all, the price point is excellent. Second of all, it's an RGB led strip with Bluetooth connectivity that can play in tandem with the music you're playing in your car. 3rd of all the installation is as easy as plugging the power plug into the cigarette socket in your car!Okay to be fair, the installation took me longer than expected: around 45 minutes total. But to be fair, I spent the majority of that time to figure out how to best install the strips and to hide the wiring so that it's not going to be all over the place.I purchased a cigarette lighter socket splitter (www.amazon.com/gp/product/B07SF63PP7) so I can plug the led strip into one socket and still have another functional socket for whatever.After figuring out how I wanted to install these lights, I ran the strips and the wires through the center console of the car (where the socket is), down under the front seats, to the sides and tucked the wires under the plastic cover by the floor of the door, to the front.I made sure to clean all surfaces with alcohol before sticking the strips and control on it to make sure that the adhesion will be strong.Once all that was done, all I had to do was download the app, created an account, and connect the led strips to the app via Bluetooth and now I have a party car!All I can say is I'm super happy with this product. And for only about 15 minutes (unless you're like me) and a little over $20, I think you should definitely take the time to install this in your car as well!!","It's a Party in Your Car! Well, My Car!!",Verified Purchase,111 people found this helpful
LIsa Michelle,/gp/profile/amzn1.account.AHRODH2UJVC6EMRAGDFVGXJI7YDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 5, 2019",0,1,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           Exactly what I was looking for and more! The color can be consistently on, strobe, or play along to music. Get in, we’re rockin!",It’s Lit!,Verified Purchase,174 people found this helpful
Southern_Queer,/gp/profile/amzn1.account.AGEJZOV7AWNCHTLHIY5ASTISXEIA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 13, 2019",0,3,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"This product is really cool! It’s worth the purchase. I don’t usually leave more than just a  rating, but I felt the need to add video with this product. Beware there are pros AND cons.Pros:Super easy to install!App interface is intuitiveWires are easily hiddenApplication, with full light spectrum and effects.Fits my Beetle 2.0T Coast perfectly!Cons:I drive a compact vehicle, something like a crossover is too big for this set up. Smaller sedans should be fine, I had to tuck away excess cables.The music setting. Playing with the microphone sensitivity setting is a must for the music setting. With rock music the mic switches from vocals to bass, depending on which one is prominent. With hip-hop/pop it typically sticks to the bass, as seen in the video. If I can, I’ll add videos of different genres later.Light strips are smaller than what the advertisements lead you to believeSlight odor when you first open the package. Clears up fast.",It’s really cool!,Verified Purchase,183 people found this helpful
Pradeep Kumar Ravilla,/gp/profile/amzn1.account.AHBJRC7UZVGXI6BAOLASRKADYEMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2019",0,3,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Super easy to install, got done in 10mins. Did install in day time so had to wait till dark to actually see how bright are the lights. And was surprised to see the result later that day as they were just perfect. Super easy to pair with phone app as well. Over all a product worth the money.",Must buy - easy install easy use great looking,Verified Purchase,113 people found this helpful
Edmund Dobry,/gp/profile/amzn1.account.AG2E2G762XJDCH7RVOI7VAD4MABQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 1, 2019",0,1,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Alright this review is about as honest as you can get. In general the product is nice looking, well built, materials seem to be decent including the labeled 3M tape (I question authenticity) . The LED brightness is on par with other LED products in this price range. Overall it is an average LED RGB lighting product. I cannot tell you about the Bluetooth function or app, as I never did make it that far. My experience with this product stopped at the installation! Why did I stop there? I have the double side series 4 light kit. The biggest issue is how these lights are wired, even with two lights per wire, they are wired in series making installation extremely difficult if you like the wired to be hidden and no bundles of wire stuff or crammed into one spot. I originally wanted to do locations under the dashboard and under the front seats of my F150.  That being said, if you want to feed the wires through and under dashboard or console parts you cannot do that, as the wires do not disconnect which means you would have to fish the entire LED system through LED lights, controller and power point. So hiding your wires is impossible! Next, having the lights in series on one side each means you are running double wire on your furthest LED light. The controller is nice, it is a mate black plastic housing with three buttons power, color and music mode. The power plug is big, but does have a switch on the back of the plug for turning off and on. The included hardware ie., screws are useless for vehicle installation, you would be lucky to ever get them into any type of plastic to secure your lights. The 3M tape is generic looking tape with white background, there is no trademark on the tape I suspect it is fake 3M tape even the 3M logo is halfway cut off which is not how 3M tape comes, with the included screws and the tape, my opinion is that the screws are useless inside a car, the tape will not last long in the summer or hot areas of the south and mid-west. As with any inferior tape product for inside the car the heat will loosen these light pods and in time they will fall off. With all that said, I cannot recommend this product for vehicle use. There may be a more useful application for this product with some modification such as on a boat, in a house, or the bed of a truck. If you do not mind wires all over the place and a sub par installation, you could get this product to work. I think overall you will be dissatisfied with the installation, the fake 3M tape will not last long and you will find yourself heading to the auto parts store for real 3M tape. Overall - do not buy, you get less then what you are paying for, this is import junk cheap product and you will only end up replacing it, or never installing it like me.","If you expect to do a professional installation, and do not mind fake materials!",Verified Purchase,45 people found this helpful
Rebecca Cox,/gp/profile/amzn1.account.AG6PMU5CA3ZUWPE4IYZUXJZV5FCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 26, 2019",0,2,https://www.amazon.com/Interior-Govee-Two-Line-Waterproof-Controller/product-reviews/B07Q6CPQK4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Got these for my older Jeep since my overhead light has gone out and I love them. I do animal transports and sometimes need to see what’s going on and these lights make it super easy. I keep remote up by me, and have also synced them to the iPhone app. They’re bright enough to see the entire interior, but not be too much of a glare at night on the lower setting.",Bright and functional,Verified Purchase,78 people found this helpful
