author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
BinaryCode,/gp/profile/amzn1.account.AGLWBAAYLSFM5CIUQ6BUSTHL6N6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 25, 2017",0,12,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"Couldn't afford silk so ordered these. I love them. I've heard that sleeping on cotton is like rubbing your face on steel wool all night since that's how delicate the skin there is.All I know is I shower and style my hair at night and after sleeping on these, my hair looked freshly blown dry the next morning. I'm not exaggerating, hair looked the exact same in morning as it did after I styled it the night before. So, if this material is that nurturing to my hair I can only imagine how my face is loving it. I'm hooked and will be buying more colors.Warning: Don't get earings, rings or hang nails anywhere near these or they will snag!",Kept my hair PERFECT all night!,Verified Purchase,981 people found this helpful
Cathy Saetae,/gp/profile/amzn1.account.AENX3HROPIP7MHNNZ3LN54XGTKWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 8, 2019",3,11,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"Your browser does not support HTML5 video.           Is polyester, satin? I don't know my fabrics, but the material feels nice enough for the price... I wanted silk-like pillowcases to help maintain the health of my hair and skin without the price of actual silk... This does the job and shipped super quick thanks to Amazon Prime... Will definitely be buying again!",Nice and cool fabric,Color: TealSize: 20x30Verified Purchase,595 people found this helpful
madaboutmd,/gp/profile/amzn1.account.AFQUFL2MLKKRVBSZU2SJ636UNCWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 10, 2018",0,5,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"Received the items quick, packaged well.Beautiful color (dark gray), cool to the touch. Feel great.Be careful...seller provides VERY SPECIFIC cleaning instructions.Follow them, or  they may shrink, melt, or get damaged.I washed mine in cold water on delicate. Then hung to dry. Dried very quickly.",Nice pillowcases...,Color: Dark GreySize: 20x40Verified Purchase,477 people found this helpful
George Scarlatta,/gp/profile/amzn1.account.AEFEQA3KTVUYGB2YBVMK6DDPOYAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 24, 2017",0,7,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"We have bought at least 6 different brands of these kinds of pillowcases over the years via Amazon. We always order standard size pillowcases but invariably, we end up with queen size ones. These standard size pillowcases really are standard size. They fit our pillows perfectly.And though all the brands who advertise under the ""satin"" or ""sateen"" or silk"" pillowcase category, represent that their products are, or ""feel like"" silk, these pillowcases really do feel silky.We have only washed them (cold water and line dried only) a few times, but they seem as though they will hold up. I sure hope so. They are the best and most comfortable that we have yet to find on Amazon.",Best yet!,Color: IvorySize: 20x30Verified Purchase,643 people found this helpful
Kate,/gp/profile/amzn1.account.AHQJXCA2JQSP6KEDEXNURM67ZD7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 9, 2018",0,4,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"I was originally looking for silk pillow cases, but decided to give these a try because they were a better price. I am not disappointed! I have seen a noticeable difference in my hair in the mornings and overall they are so smooth and comfortable to sleep on. I’ve washed them several times and haven’t seen a difference in the quality. I would buy again.",Life changing!,Color: IvorySize: 20x30Verified Purchase,351 people found this helpful
shawnellnewberry,/gp/profile/amzn1.account.AEGCNHQEKUBORCN2LQ5XA26NAOPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 12, 2018",0,2,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"LOVE THESE! They are a beautiful shade of gray,  well-made and a perfect price! I ordered these to help protect against hair-breakage and I've already noticed a huge difference!!!",PREVENT HAIR BREAKAGE,Color: Dark GreySize: 20x40Verified Purchase,295 people found this helpful
Amazon Customer,/gp/profile/amzn1.account.AF4CRG635EC6JHJCRM7BLPUCEAFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 11, 2019",1,4,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,Looks and feels better than I even hoped for considering the price and some of the reviews. I’ve only slept on them a couple nights now but I love the way it feels and my hair looks real nice. And they make my bed look sensual!,Really nice 👍 yas,Verified Purchase,238 people found this helpful
Alyssa,/gp/profile/amzn1.account.AERAMEUJDO6P77WRA2YMUBQZ7U7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 25, 2018",1,2,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"Bought these to help my hair from breakage! Even though it’s terrible for your hair, I tend to sleep on wet hair sometimes. After using this pillow case, I noticed my hair feels way less brittle when I sleep on my wet hair! Would recommend to people who want to purchase this to help with their hair!",Even though it’s terrible for your hair,Color: IvorySize: 20x30Verified Purchase,276 people found this helpful
LJB,/gp/profile/amzn1.account.AHV4H52FKTIBPTSMVKC6FEVTENNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 18, 2018",0,4,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,4.0 out of 5 stars,Pillowcases are nicely done.Soft and satin is smooth and cool to touch.Was concerned they might sleep hot and cause a sweaty feeling but not at all.Washed well and dried to wrinkle free finish.Also like the envelope closure on open end.Looks nice and finished and keeps from slipping off.Hope they pay off and help decrease hair breakage a bit.Very comfortable and recommend.Good price point to at least give a try.,Nice Surprise,Color: IvorySize: 20x30Verified Purchase,213 people found this helpful
Mei Mei,/gp/profile/amzn1.account.AEUUSQXSVCHN3UVEGV6D3E7HCNLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 3, 2019",2,2,https://www.amazon.com/product-reviews/B07RHQ481S/ref=zg_bs_home-garden_cr_2?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,Was sold significantly used cases. Both had dog hair on them! These items were  returned by someone else  & resold! Unsanitary!,UNSANITARY!,Color: BlackSize: 20x30Verified Purchase,110 people found this helpful
