author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful
Laur S,amzn1.account.AG4DZFWSJF3B5H33UPG5UICJPVOA,"Reviewed in the United States on June 17, 2018",0,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I receive my cold pack yesterday, put it in the freezer and attempted to use it. Unfortunately I found that it was leaking.  I never noticed on the website that this is a non-returnable item. Be careful when ordering.  Bad purchase!",Leaking!!,Size: Large (Pack of 1)Verified Purchase,423 people found this helpful
Lori Andersen,amzn1.account.AHZKHJ2OM3ZMNUNVEMPZNO65ZNCQ,"Reviewed in the United States on August 7, 2018",4,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I was very excited to read such positive reviews and therefore felt confident I was ordering ""the best"" ice pack for home use that money could buy. I was sorely disappointed. I came to this item based on a search for a brand recommended from my physical therapist and was ecstatic to learn it was also one-day prime eligible. I immediately opened the box and followed the manufacturer's instructions to chill for 1-2 hours prior to use. I bought two; one for myself and my knee problems and another for my high-school athlete daughter for her knee as well. She tried hers a little before I did, so mine had a solid 2-3 hours in the freezer. When I initially used it, I was certain the towel had been too thick, it didn't chill long enough, etc. I decided to give it another try, and chilled a full 24-36 hours. I was still sorely disappointed. Imagine my level of disappointment to find that these items were unable to be returned! (Not yet 72 hours from delivery) Maybe mine was a dud? I have contacted amazon customer service and hopefully will come to a good resolution. (Still awaiting reply, credit &/ or refund.) Buyer beware: not always about the good reviews. I hope others will not have a similar experience to mine.",Maybe I got a dud? Read return policy very carefully!,Size: Large (Pack of 1)Verified Purchase,357 people found this helpful
Darius,amzn1.account.AFJLZYBX26XAJOOOBNATGQ7FUTRQ,"Reviewed in the United States on April 16, 2017",1,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Great product gets nice and coolI order 2 half sizes for both my knees and what i do is i use a knee brace, i also bought on amazon, to strap it down.The knee brace is:""Knee Brace Support For Arthritis, ACL, Running, Basketball, Meniscus Tear, Sports, Athletic. Open Patella Protector Wrap, Neoprene, Non-Bulky, Relieves Pain,, Best Braces by Winzone""Check the pics!",Ice pac + knee brace = relief,Size:  Medium (Pack of 1)Verified Purchase,176 people found this helpful
Rolidnot,amzn1.account.AELEQ2KCIH7LLI32UKH4B447HQKA,"Reviewed in the United States on April 27, 2017",1,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"SO MUCH better than the ACE piece of junk! Why? Because this FlexiKold pack has a nylon outer jacket and the edge seams are sewn, not glued or thermally fastened like the ACE large cold compress. I played ice hockey goal for 40+ years and finally had to quit due to all manner of L4/L5/S1  low back, rotator cuff and knee problems. I live on ice packs and NSAID's after golf and the gym. The ACE packs last about 6 months before they pop a seam and the slimy cold pack guts coming slithering out, really greasy yet sticky goo. I've done that 4-5 times now in the past 2-3 years and it was a pain having the ACE packs leak so often and I got weary of stuffing them in a ZipLoc bag to prevent the goo from getting on my hands and clothes.I noticed that my PT guy uses FlexiKold packs daily at his practice and he told me they last years with 4-5 a day of continuous use in his office. Saw the FlexiKold products on Amazon and I'm sold. If I run into problems down the road, I'll report back but to my eye, the quality of the FlexiKold gel pack is far superior to the ACE products.There is a photo of my ACE cold pack on top of the new FlexiKold pack. You can see that the edges of the ACE bandage are either glued or thermally sealed and when you put pressure on the pack like using it on your low back, the seam eventually splits open. The FlexiKold pack is in a ripstop nylon pack and the edges are sewn with a cloth edge all the way around. The FlexiKold is a bit more money upfront but if I'm not buying a new one every 6 months, it's actually a lot cheaper.","Nylon cover is edge sewn, not the thermally glued like the ACE junk pads, FAR superior construction",Size: Large (Pack of 1)Verified Purchase,206 people found this helpful
B,amzn1.account.AHX55EZ6EG7F4EB5RACD3OHVL5FQ,"Reviewed in the United States on July 7, 2021",0,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=20,5.0 out of 5 stars,"I bought these prior to having hernia surgery on my stomach. These are the perfect size for applying on the stomach. I like the size, the are flexible right out of the freezer. I recommend buying a couple as I did, they do come back to room temp in just about 15 minutes so having a spare in the freezer is a must.I have no leaking issues and highly recommend these.",Best ice pack I’ve used,Size:  Medium (Pack of 1)Verified Purchase,
Susan,amzn1.account.AGZOF3Z7FRG7OCLDSPIPBHBRNKLQ,"Reviewed in the United States on February 23, 2021",0,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=21,5.0 out of 5 stars,"FlexiKold gel packs are my choice in cold wrap therapy.  Owning several sizes, the over-sized wrap easily fits around the back to front shoulder area.  Simply place in the freezer and it is ready when needed.  I high recommend FlexiKold products.  Note:  it was given a 1 star rating for warmth as it has been used for cold therapy only.  Amazon would not permit me to post this review without a warmth rating.",Fantastic Cold Therapy Wrap,Size: X-LargeVerified Purchase,
Mayo,amzn1.account.AF5VPNY6T6MXC7VNEP6SCBAAKQDA,"Reviewed in the United States on August 18, 2020",0,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=22,5.0 out of 5 stars,"I just had a hip replacement and my entire leg was swollen very very large.  The gel  pack and elevation helped tremendously to bring the swelling down within about a week.  I highly recommend purchasing 2 or 3 of these packs and also a foam wedge to elevate.  The wedge works much better than pillows.  I bought one that is rounded rather than squared off on top, and it is perfect, along with the gel packs..  Purchase them BEFORE  the surgery.  Very good product.",Helpful,Size: Large (Pack of 1)Verified Purchase,
Cindy M.,amzn1.account.AGV74NQHJMSO3FOH5LPDREQKUPPA,"Reviewed in the United States on August 8, 2017",0,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I thought when taking in out of box, that it was way to thin for it to last very long. Not even sure enough 'gel' inside to spread out to the 10.5"" X 14"". I was wrong on both accounts! Yes, it is very thin and when freezing, you need to lay flat and 'move' gel so it evenly is spread, then lay flat in freezer. It lasted, it worked great, (use it for low back/hips injury), molds well due to it's thin non hardening 'gel'. It is almost TO cold (gets frosty) if I use it sitting down and accidently press to much back on it). VERY impressed, and will be buying another!UPDATE: I'M ON MY 3RD ONE AND EVERY SINGLE ONE LEAKS GEL OUT THE SIDES!! CHANGED MY 5 STAR REVIEW TO 1 STAR AS THEY SHOULD LAST LONGER THAN A FEW MONTHS!!! 2ND UPDATE: Frustrated!! I am now on my 5th gel pack because they DO work! HOWEVER...every single one started leaking gel out the sides not long after starting to use them! I only use them for my low back, they stay flat, so not abusing them any way for this to keep happening. Will switch to another brand/type, but others never seemed to stay cold long enough!",5* Reviews were right!!,Size: Large (Pack of 1)Verified Purchase,118 people found this helpful
L. Mountford,amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA,"Reviewed in the United States on April 1, 2016",0,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I'm at an age where things start wearing down: joints, cartilage, etc.  I used to be really active (dancing professionally, equestrian sports, etc.), and it has definitely taken its toll 40 years later.  I've developed osteoarthritis and the most recent victim is my left hip.  I'm trying to delay hip replacement surgery as long as possible, so I'm using exercise as well as cold therapy, and that's where this FlexiKold Gel pack comes in.  I'm working with a physical therapist, and this was one of the brands she recommended.I have the ""standard"" size (10.5"" x 14.5""), and it's the perfect size for my needs.  It freezes quickly, is flexible, and stays cold longer than any of the other cold packs I've tried.  It definitely helps with the inflammation and pain that comes from this condition.I just ordered a second one in the same size so that I'll have one in the freezer ready to go at all times.  For the price, I couldn't ask for a better solution.  And I may invest in the half-size one for my shoulder (same condition, similar issues ... ).  Very satisfied with this purcahse.","If I'd known getting old was going to be like this, I would have taken better care of myself ...",Size: Large (Pack of 1)Verified Purchase,382 people found this helpful
Suzanne Root,amzn1.account.AF4PF6RXE4M5VEVDB4IFCD4JEADQ,"Reviewed in the United States on July 16, 2016",2,,https://www.amazon.com/FlexiKold-Gel-Pack-Half-Size/product-reviews/B008A6M34C/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Love this cold pack.  I had knee replacement surgery and these have been so helpful.  The standard size is really large and covers a wide area.  I have pain all up and down the leg.  I use one underneath and the other on top.  Moving them up and down as needed.  They get very cold in the freezer and stay cold out of the freezer for hours.  I've gone to sleep and taken them off only to wake up hours later to put them back on and they're still cold.  Really recommend this product.  Like the material that they are made of, they are easy to clean.  The photos show that I have to put towels over them because they get so cold!",Extremely helpful for post knee replacement surgery,Size: Large (Pack of 1)Verified Purchase,306 people found this helpful
