author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,helpful_votes,total_review,visibility_status
Amazon Customer,/gp/profile/amzn1.account.AFFTIUF2PJB4DSH426W473YJBELA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 30, 2018",0,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,Do not buy this if you have a summer waves pool. The intex version will not work. If you have a Intex pool I imagine it would work great. I searched for hours on multiple sites and items to try to find a conversion to make it compatible. I finally gave up and returned this item and bought the Skimbi version that comes with different attachments for different pools. I mainly wrote a review to keep someone else from having the same hassle. Hope it helps!!,Not compatible with Summer Waves!!,Size: OSVerified Purchase,266 people found this helpful,1069710,268,8,Public
C. Family,/gp/profile/amzn1.account.AGETHZ54GGMSQVQZBVZRFM6KP7DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2017",5,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"A have a coleman 18ft×48 pool. Let me begin by helping with a few things about how to set this up to work with coleman pools. I have 2 outlets that come out of pool to the pump and 1 going into the pool.  On one of the out to pump you need to take the strainer grey piece out. It has 2 screws unscrew both and then the strainer piece will unscrew, then you can screw the blue end of the intex strainer onto the outlet. Second when you screw the intex strainer onto the pool frame, you need to screward kit onto the vinyl part of the  frame, not the frame itself. Also you need the peg horizontal and screw each one a little at a time, one peg and then the other until it is tight. I need to do a little more fine tuning, but with some help of other's pictures I was able to figure it out. I didn't have to shut one of the inlets off for now to make sure it was working. I live in west texas and have not bought another filter yet as ours still works, but i'm sure we will replace. Our pool always has lots of bugs which keep me very busy cleaning the pool instead of enjoying the pool. I look forward to not having to vacuum as often, although we still have a lot of dirt here. I hope these photos help some others with the same problems.",Works good but lousy instructions. See for coleman pools,Size: OSVerified Purchase,507 people found this helpful,20262,803,433,Public
Joshua,/gp/profile/amzn1.account.AFBN2CAX5N5HJKISUW6XXH5QMXWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 10, 2017",0,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Undisputed MVP of my pool equipment team. I have a 3000 gallon Intex 16'x8'x42"" Rectangular Prism Frame Pool and a 2100gph Intex Sand Filter. I was vacuuming, filtering, and skimming with my net constantly and still my water was cloudy despite having good numbers all around. There was always a film of dust, and sunscreen sludge on the surface that no amount of filtering or skimming could remove. Swarms of gnats so small that the skim net couldn't retain them would litter the surface. When I mow the lawn, mountains of dust and tiny clippings would settle over the whole pool and the skimmer could do nothing. I'd have to wait for everything to sink and then vacuum. I would cringe when I mowed the lawn. I would cringe when the kids went in with sunscreen on. I would cringe when I saw the gnats swarming in the evenings. And then I bought the Intex Deluxe Wall Mount Surface Skimmer.I was skeptical. It just didn't look all that effective or reliable. When I opened the box, it was bigger than I expected. Installation was incredibly easy and quick. Within half an hour, the surface sludge was gone and before the day was over, my water was sparkling! I'd be remiss if I didn't say that a bit of care and thought goes into using the skimmer effectively. For starters, with my 2100gph pump, I have to install the white restrictor cap over my second outflow port in order to generate enough suction to operate the skimmer. The skimmer works best when blue sleeve floats about 2 to 3 inches above the white base cylinder that the hose attaches to. You get your best performance in calm water. I've left it in while the kids were swimming and it has been fine. But if the water gets too turbulent, you the sleeve could come out or, worse yet, bottom out and you could suck air into your lines. I also have an air leak at my restricted outflow port that causes air to slowly get sucked in to the line. Because of this, I have to shut the pump off for a few seconds every couple of hours to allow the air to escape back up the line. This may not be your experience, but it is something to watch out for.I frequently skim the layer of sludge off of the surface of the skimmer using a name brand paper towel. If you get too much sludge/oil buildup in the skimmer, it will actually float back up out of the skimmer. When I am finished using the skimmer, I detach the hose from the outflow port and I cover the end of the hose with a (you guessed it) name brand paper towel that has been folded in half. I then detach the skimmer and lift it slowly out of the water. The paper towel filters the water as it runs out of the hose and prevents small debris and sludge from flowing out into the pool.I am obsessed with keeping my pool clean and I was fighting a losing battle until I purchased the Intex Deluxe Wall Mount Surface Skimmer. Now I can't wipe the smile off of my face as I watch it devour mountains of bugs and sunscreen sludge.",THE best $20 I ever spent. Period.,Size: OSVerified Purchase,246 people found this helpful,48421,774,146,Public
RickWAllen,/gp/profile/amzn1.account.AGLYVOCFEQJVA4OXTJIPZZSVQ4CA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 23, 2018",1,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,At first I had trouble stabilizing this on my soft-side Easy Set pool by Intex. It kept on tilting downward into the pool thus allowing the floating skimmer to drift away. Then I did 2 things to solve problems. 1) Inflated air ring more. (2) Attached rope to back of bracket and attached other end to a stake in ground. This keeps the skimmer housing straight up and down.  And this allows the skimmer to float level and capture stuff SEE PHOTO.,"Problem with Easy Set pool. But found solution, see photo.",Size: OSVerified Purchase,129 people found this helpful,3544,1436,450,Public
RJD,/gp/profile/amzn1.account.AF6C7UYOPQLQYVIQAOGLGFK3MBEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 18, 2017",0,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Cleaning my pool last year was a full time job. I was using the hand held skimmer EVERY time I went into the pool...to the point where my daughter kept nagging at me to ""STOP CLEANING"" and ""JUST PLAY."" I was grossed out. It was a nightmare. I was determined to have a better experience this year.This time of year can be especially challenging because of the pollen floating around. I don't know why I hesitated to purchase this item because it is amazing. The first day it was installed, I watched as things seemed to miraculously fall into the skimmer. I went to bed and, by morning, the basket was full of pollen, plant matter, and a few bugs. You just lift it out, rinse, and put it back. Totally worth my peace of mind.",MUST HAVE!,Verified Purchase,88 people found this helpful,718869,321,130,Public
Amazon Customer,/gp/profile/amzn1.account.AFABIZT75CRHBTITGUOSHOZQLQCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2015",1,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3.0 out of 5 stars,"I have a 18'x9'x48"" Coleman frame swimming pool that I picked up from Walmart last week, along with a saltwater system. One problem with this pool I bought is this is my first pool in 3 years that doesn't have a built in side skimmer. Well I never realized how fast is gets dirty and how hard and long it actually takes to clean it.In less than a week that I've had my pool up its already filled with junk and a variety of bugs. And living in New Mexico right next to 3 big cotton wood trees doesn't help.So when I was looking on Amazon for a new filter/pump for the pool I saw this for only $15 a jumped on it.It's extremely easy to setup, takes less than 5 minutes, and doesn't need any extra tools to set it up.It hooked onto the metal frame just fine, but I did notice one thing, it seems uneven (horizontally with the water) so one side of the skimmer isn't bringing in water (basically half of the skimmer isn't skimming). It took me about 5 minutes to get it even and to evenly skim the water.It cleaned up the top of the water of the pool in about 15 minutes. So that was pretty nice and I didn't have to sit there and worry about missing any bugs that would big/sting the little kids.However one big problem does occur, as soon as I got in the pool and started to cause some waves, all the bugs and junk caught floating in the skimmer all came out and went all over the pool. About 5 minutes in the pool the whole assembly came off the water and started to suck air into my water lines.So I've now come to the conclusion and do this, connect the skimmer when no one is in the pool and let it run and come out a few minutes before I know the pump is gonna shut off and clear out the basket. If the pool is dirty before were gonna get in I turn my pump on 10 minutes before I get in with the skimmer attached. Before I get in though I make sure to disconnect the skimmer and its connection to the pump and put it outside the pool. When I get out I just reconnect it again.",Works Great If The Water Is Calm,Size: OSVerified Purchase,394 people found this helpful,126153,705,84,Public
Richard H.,/gp/profile/amzn1.account.AGURGLYTIT6X6MDWSCRDAENNFIVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 24, 2017",0,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"I have a small summer waves easy set pool, 10 ft. round, holding 1000 gal. water. Its a small pool more like a spa for me so I had to adapt the skimmer hose to my pool. Being the pool is outside, lighted and heated it gets a lot of bugs and pollen on it. So I got this skimmer to combat the surface. Here are some things that might help if your thinking about this item.It clearly states you MUST have 800+ gph flow. This will not work with less flow, and over 1000 gph is best.It comes with 1.5 in. flex hose and an adapter for suction in your pool. Smaller pools and pumps use smaller hoses and fittings.The skimmer is NOT made for use with people in the pool.My pool is really too small for this but it works GREAT for me. My filter was too small as well but I upgraded to a 1000+ gph sand filter. My son has a larger (4400 gallon) metal frame pool and it works great on that.",I have a small summer waves easy set pool,Size: OSVerified Purchase,31 people found this helpful,5911484,59,12,Public
ThatWarrenWoman,/gp/profile/amzn1.account.AFM2KUNUYWODSKIEQEF5IFGB5OIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 20, 2016",0,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"If you have an above ground pool with no side skimmer this is a must have. I purchased an 18x48 metal frame intex pool last year, and my pool only has a side intake far below the water line. Which means any leafs or bugs that fall into the pool just stay floating on the surface or sink to the bottom. I can't tell you how many hours I spent using my net trying to fish everything out. I can't remember how I stumbled across this little beauty but I'm so glad I did. Now the directions that came with it were 100% clear to me, but I managed to get it put together and put inside my pool. When I put it in, I had several dead bugs and leaves floating around I didn't net them out I decided to see what this little gadget could do. I installed it around 6pm, when I got up at 7 the next morning my pool so clean and clear! Everything had been caught in the skimmer! This was well worth the money! If you have a pool with no side skimmer this is a MUST buy!",Must buy for above ground pool with no side skimmers!,Verified Purchase,85 people found this helpful,221743,432,61,Public
Amazon shopper,/gp/profile/amzn1.account.AFG5U5UF5YDRAPJGV3XTOA4UCNBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 9, 2019",0,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"Your browser does not support HTML5 video.           I have been looking at this product for a couple years not and decided to get it. The reviews were decent and it was on sale. So I gave it a shot. Didn’t regret it. Not a perfect product unless you have a hard side pool but works even with the blowup ring like my pool. I was worried about how well it worked and kept it’s position and even though I do have some issues with it, I don’t regret the purchase. It does raise and lower automatically with the water lever which was one of my concerns and it does hold on to the blowup edge fairly well which was my other concern. See my video review for more details.2020 update. I used this thing all season last year. I had a few issues where I found that I was getting a lot of air in my leaf filter on the sand filter whenever I had this thing attached. I found out this was because when I had the slimmer attached, I would block off the other inlet and this would create a slow flow and I was taking in air from around the seals. You need to make sure you I’ve enough water flow when this is attached but other than that, this thing makes a huge difference in the cleanliness of the pool. When floaters are picked up before they fall to the bottom, there is more time between sweeps. I enjoy using this",Good surface cleaner,Size: OSVerified Purchase,7 people found this helpful,37285,265,234,Public
Fasttrac!,/gp/profile/amzn1.account.AE6QN6V5Q5EVH6WLXI3OXXI7O7PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 20, 2017",0,,https://www.amazon.com/Intex-Deluxe-Mount-Surface-Skimmer/product-reviews/B00178IMPO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Last summer was my 1st year with the pool & I needed to net skim the pool many times per day to keep bugs & debris out. I have been using this skimmer for a good week & have found it has trapped a HUGE amount of debris/bugs that I would have had to net skim out or would have sunk to the bottom of the pool. IMO- for small money- adding this Intex Wall Mount Skimmer is a ""must have"" for the entry level Intex Pools.I have not encountered the mounting issues other reviewers have stated but I do have it mounted to a soft side Intex pool not a hard side. There is a slight learning curve with the use & set-up but once understood it works great. I recommend watching the online Intex Deluxe Skimmer Video to help with the install, use & understanding of  this skimmer. Intex recommends keeping some air under the outer ridge of the blue floating ring but I needed to ""burp"" or keep all the air out from under the ring ridge- I found doing this allows the floating blue skimmer to be at the perfect water surface height- this greatly improved the performance of the skimmer. **I believe I had to burp the air from under the ring ridge because my filter pump is only 1000-gph**. When using a higher more powerful pump the air under the ridge may be needed to keep the blue floating ring from getting pulled (sucked) to far down below the water surface. I'm confident when I upgrade to the better 2500-gph pump the skimmer will work even better. I also highly recommend using a skimmer basket sock with this skimmer to keep pool debris from reaching the pump filter. Hope this review helps!",Intex Suface Skim Makes For a Better Swim!,Size: OSVerified Purchase,13 people found this helpful,344712,170,77,Public
